Sequence_ID	Organism	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
Seq-DBG-F-033541	Cortinarius variecolor	Roy E. Halling	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow, Susan Tavel	40.035367 -105.536595	DBG:DBG:DBG-F-033541
Seq-DBG-F-033542	Hydnellum scabrosus	Justin Loucks	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	40.035367 -105.536595	DBG:DBG:DBG-F-033542
Seq-DBG-F-033543	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033543
Seq-DBG-F-033544	Pholiota populnea	Thiago Kossmann	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.045461 -105.572701	DBG:DBG:DBG-F-033544
Seq-DBG-F-033547	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033547
Seq-DBG-F-033549	Phellinopsis conchata	Thiago Kossmann	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow, Susan Tavel	40.035367 -105.536595	DBG:DBG:DBG-F-033549
Seq-DBG-F-033551	Tricholoma fulvum	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge		40.035367 -105.536595	DBG:DBG:DBG-F-033551
Seq-DBG-F-033553	Tricholoma saponaceum	Stephen Mondo	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ikuko Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033553
Seq-DBG-F-033554	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033554
Seq-DBG-F-033555	Clitocybe 	Alisha Quandt	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	40.035367 -105.536595	DBG:DBG:DBG-F-033555
Seq-DBG-F-033558	Schizophyllum commune	David Hayes; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Andrew W. Wilson	39.10218 -96.58673	DBG:DBG:DBG-F-033558
Seq-DBG-F-033562	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033562
Seq-DBG-F-033563	Tricholoma fulvum	Amy Honan	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.039758 -105.561499	DBG:DBG:DBG-F-033563
Seq-DBG-F-033564	Laccaria nobilis	Roy E. Halling	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.031232 -105.536791	DBG:DBG:DBG-F-033564
Seq-DBG-F-033565	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033565
Seq-DBG-F-033566	Coprinopsis atramentaria	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033566
Seq-DBG-F-033569	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033569
Seq-DBG-F-033570	Phlegmacium norrlandicus	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033570
Seq-DBG-F-033572	Russula favrei	Mary Childress	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033572
Seq-DBG-F-033579	Lycoperdon perlatum	Alisha Quandt	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	40.035367 -105.536595	DBG:DBG:DBG-F-033579
Seq-DBG-F-033581	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033581
